"Display Name","Publisher","crypto","dns","fs","http","os","path","tls","dgram","zlib","cluster","process"
"Path Intellisense","Christian Kohler","False","False","True","False","True","True","False","False","False","False","False"
"Go","Go Team at Google","False","False","True","True","True","True","False","False","False","False","True"
"PHP Debug","Xdebug","True","False","True","True","True","True","True","False","False","False","True"
"PHP Intelephense","Ben Mewburn","True","False","True","True","True","True","False","False","False","False","True"
"Git History","Don Jayamanne","False","False","True","True","True","True","False","False","False","False","True"
"PowerShell","Microsoft","False","False","True","True","True","True","False","False","False","False","True"
"open in browser","TechER","False","False","True","False","True","True","False","False","False","False","True"
"ES7+ React/Redux/React-Native snippets","dsznajder","False","False","True","False","True","True","False","False","False","False","False"
"One Dark Pro","binaryify","False","False","True","True","True","True","False","False","False","False","True"
"IntelliCode API Usage Examples","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"EditorConfig for VS Code","EditorConfig","False","False","True","True","True","True","False","False","False","False","False"
"isort","Microsoft","False","False","True","True","True","True","False","False","False","False","True"
"GitHub Theme","GitHub","False","False","True","False","True","False","False","False","False","False","True"
"npm","Microsoft","False","False","True","True","True","True","False","False","False","False","True"
"Code Spell Checker","Street Side Software","False","False","True","True","True","True","False","False","False","False","True"
"Dart","Dart Code","False","False","True","True","True","True","False","False","True","False","True"
"IntelliSense for CSS class names in HTML","Zignd","False","False","True","True","True","True","False","False","False","False","False"
"[Deprecated] Bracket Pair Colorizer 2","CoenraadS","False","False","True","True","True","True","False","False","False","False","True"
"SQL Server (mssql)","Microsoft","True","False","True","True","True","True","True","False","False","True","True"
"Markdown All in One","Yu Zhang","False","False","True","True","True","True","False","False","False","True","True"
"Django","Baptiste Darthenay","False","False","True","True","True","True","False","False","False","False","True"
"Flutter","Dart Code","False","False","True","False","False","True","False","False","False","False","True"
"npm Intellisense","Christian Kohler","False","False","True","False","True","True","False","False","False","False","False"
"Azure Account","Microsoft","True","False","True","True","True","True","False","False","False","False","True"
"Python for VSCode","Thomas Haakon Townsend","False","False","True","False","True","True","False","False","False","False","True"
"Japanese Language Pack for Visual Studio Code","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"Jinja","wholroyd","False","False","False","False","False","False","False","False","False","False","False"
"Live Share Audio","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"Dracula Official","Dracula Theme","False","False","True","True","False","True","False","False","False","False","False"
"Color Highlight","Sergii N","False","False","True","True","True","True","False","False","False","False","True"
"Tabnine AI Autocomplete for Javascript, Python, Typescript, PHP, Go, Java, Ruby & more","TabNine","False","False","True","True","True","True","False","False","False","False","True"
"C++ Intellisense","austin","False","False","False","False","True","True","False","False","False","False","True"
"markdownlint","David Anson","False","False","True","True","True","True","False","False","False","False","True"
"Vim","vscodevim","False","False","True","True","True","True","False","False","False","False","True"
"Angular Language Service","Angular","True","False","True","True","True","True","False","False","False","False","True"
"indent-rainbow","oderwat","False","False","False","False","True","False","False","False","False","False","False"
"XML Tools","Josh Johnson","False","False","True","False","True","True","False","False","False","False","True"
"Python Extension Pack","Don Jayamanne","False","False","False","False","False","False","False","False","False","False","False"
"Better Comments","Aaron Bond","False","False","True","True","True","True","False","False","False","False","False"
"Atom One Dark Theme","Mahmoud Ali","False","False","False","True","True","False","False","False","False","False","False"
"Git Graph","mhutchie","True","False","True","True","True","True","False","False","False","False","True"
"TSLint","Microsoft","False","False","False","False","False","False","False","False","False","False","False"
"CSS Peek","Pranay Prakash","False","False","True","False","True","True","False","False","False","False","True"
"PHP Extension Pack","Xdebug","False","False","False","False","False","False","False","False","False","False","False"
